teks,label,remove_user,clean_tweet,Tokenizing,tweet_tokens_fdist,tweet_tokens_WSW,Normalisasi,tweet
agar dapat tetap tumbuh menghadapi berbagai tantangan ekonomii termasuk inflasi,positif,agar dapat tetap tumbuh menghadapi berbagai tantangan ekonomii termasuk inflasi,agar dapat tetap tumbuh menghadapi berbagai tantangan ekonomii termasuk inflasi,"['agar', 'dapat', 'tetap', 'tumbuh', 'menghadapi', 'berbagai', 'tantangan', 'ekonomii', 'termasuk', 'inflasi']",<FreqDist with 10 samples and 10 outcomes>,"['tumbuh', 'menghadapi', 'tantangan', 'ekonomii', 'inflasi']","['tumbuh', 'menghadapi', 'tantangan', 'ekonomii', 'inflasi']","['tumbuh', 'hadap', 'tantang', 'ekonomi', 'inflasi']"
celah jaga kerja positif ekspor negara pasar utama indonesia lam inflasi,positif,celah jaga kerja positif ekspor negara pasar utama indonesia lam inflasi,celah jaga kerja positif ekspor negara pasar utama indonesia lam inflasi,"['celah', 'jaga', 'kerja', 'positif', 'ekspor', 'negara', 'pasar', 'utama', 'indonesia', 'lam', 'inflasi']",<FreqDist with 11 samples and 11 outcomes>,"['celah', 'jaga', 'kerja', 'positif', 'ekspor', 'negara', 'pasar', 'utama', 'indonesia', 'lam', 'inflasi']","['celah', 'jaga', 'kerja', 'positif', 'ekspor', 'negara', 'pasar', 'utama', 'indonesia', 'lam', 'inflasi']","['celah', 'jaga', 'kerja', 'positif', 'ekspor', 'negara', 'pasar', 'utama', 'indonesia', 'lam', 'inflasi']"
sebanyak pdb indonesia sumbang sektor umkm perhati jaga umkm tumbuh hadap tantang ekonomii inflasi,positif,sebanyak pdb indonesia sumbang sektor umkm perhati jaga umkm tumbuh hadap tantang ekonomii inflasi,sebanyak pdb indonesia sumbang sektor umkm perhati jaga umkm tumbuh hadap tantang ekonomii inflasi,"['sebanyak', 'pdb', 'indonesia', 'sumbang', 'sektor', 'umkm', 'perhati', 'jaga', 'umkm', 'tumbuh', 'hadap', 'tantang', 'ekonomii', 'inflasi']",<FreqDist with 13 samples and 14 outcomes>,"['pdb', 'indonesia', 'sumbang', 'sektor', 'umkm', 'perhati', 'jaga', 'umkm', 'tumbuh', 'hadap', 'tantang', 'ekonomii', 'inflasi']","['pdb', 'indonesia', 'sumbang', 'sektor', 'umkm', 'perhati', 'jaga', 'umkm', 'tumbuh', 'hadap', 'tantang', 'ekonomii', 'inflasi']","['pdb', 'indonesia', 'sumbang', 'sektor', 'umkm', 'perhati', 'jaga', 'umkm', 'tumbuh', 'hadap', 'tantang', 'ekonomi', 'inflasi']"
tumbuh ekonomii lonjak inflasi kiblat tentu ump ekonomii nilai ump ideal bi,positif,tumbuh ekonomii lonjak inflasi kiblat tentu ump ekonomii nilai ump ideal bi,tumbuh ekonomii lonjak inflasi kiblat tentu ump ekonomii nilai ump ideal bi,"['tumbuh', 'ekonomii', 'lonjak', 'inflasi', 'kiblat', 'tentu', 'ump', 'ekonomii', 'nilai', 'ump', 'ideal', 'bi']",<FreqDist with 10 samples and 12 outcomes>,"['tumbuh', 'ekonomii', 'lonjak', 'inflasi', 'kiblat', 'ump', 'ekonomii', 'nilai', 'ump', 'ideal', 'bi']","['tumbuh', 'ekonomii', 'lonjak', 'inflasi', 'kiblat', 'ump', 'ekonomii', 'nilai', 'ump', 'ideal', 'bi']","['tumbuh', 'ekonomi', 'lonjak', 'inflasi', 'kiblat', 'ump', 'ekonomi', 'nilai', 'ump', 'ideal', 'bi']"
presiden jokowi pastikan indonesia dapat kendalikan tingkat inflasi,positif,presiden jokowi pastikan indonesia dapat kendalikan tingkat inflasi,presiden jokowi pastikan indonesia dapat kendalikan tingkat inflasi,"['presiden', 'jokowi', 'pastikan', 'indonesia', 'dapat', 'kendalikan', 'tingkat', 'inflasi']",<FreqDist with 8 samples and 8 outcomes>,"['presiden', 'jokowi', 'pastikan', 'indonesia', 'kendalikan', 'tingkat', 'inflasi']","['presiden', 'jokowi', 'pastikan', 'indonesia', 'kendalikan', 'tingkat', 'inflasi']","['presiden', 'jokowi', 'pasti', 'indonesia', 'kendali', 'tingkat', 'inflasi']"
perintah jaga inflasi konsumsi tumbuh,positif,perintah jaga inflasi konsumsi tumbuh,perintah jaga inflasi konsumsi tumbuh,"['perintah', 'jaga', 'inflasi', 'konsumsi', 'tumbuh']",<FreqDist with 5 samples and 5 outcomes>,"['perintah', 'jaga', 'inflasi', 'konsumsi', 'tumbuh']","['perintah', 'jaga', 'inflasi', 'konsumsi', 'tumbuh']","['perintah', 'jaga', 'inflasi', 'konsumsi', 'tumbuh']"
tau g sih pren meski ditengah inflasi indeks bisnis umkm bri tetap tumbuhyuk spill lbh lanjut ,positif,tau g sih pren meski ditengah inflasi indeks bisnis umkm bri tetap tumbuhyuk spill lbh lanjut ,tau sih pren meski ditengah inflasi indeks bisnis umkm bri tetap tumbuhyuk spill lbh lanjut,"['tau', 'sih', 'pren', 'meski', 'ditengah', 'inflasi', 'indeks', 'bisnis', 'umkm', 'bri', 'tetap', 'tumbuhyuk', 'spill', 'lbh', 'lanjut']",<FreqDist with 15 samples and 15 outcomes>,"['pren', 'ditengah', 'inflasi', 'indeks', 'bisnis', 'umkm', 'bri', 'tumbuhyuk', 'spill', 'lbh']","['pren', 'ditengah', 'inflasi', 'indeks', 'bisnis', 'umkm', 'bri', 'tumbuhyuk', 'spill', 'lebih']","['pren', 'tengah', 'inflasi', 'indeks', 'bisnis', 'umkm', 'bri', 'tumbuhyuk', 'spill', 'lebih']"
nabung biar inflasi pegang belanja,positif,nabung biar inflasi pegang belanja,nabung biar inflasi pegang belanja,"['nabung', 'biar', 'inflasi', 'pegang', 'belanja']",<FreqDist with 5 samples and 5 outcomes>,"['nabung', 'inflasi', 'pegang', 'belanja']","['nabung', 'inflasi', 'pegang', 'belanja']","['nabung', 'inflasi', 'pegang', 'belanja']"
demi menahan inflasi pemerintah terapkan harga bbm di bawah keekonomiian,positif,demi menahan inflasi pemerintah terapkan harga bbm di bawah keekonomiian,demi menahan inflasi pemerintah terapkan harga bbm di bawah keekonomiian,"['demi', 'menahan', 'inflasi', 'pemerintah', 'terapkan', 'harga', 'bbm', 'di', 'bawah', 'keekonomiian']",<FreqDist with 10 samples and 10 outcomes>,"['menahan', 'inflasi', 'pemerintah', 'terapkan', 'harga', 'bbm', 'keekonomiian']","['menahan', 'inflasi', 'pemerintah', 'terapkan', 'harga', 'bbm', 'keekonomiian']","['tahan', 'inflasi', 'perintah', 'terap', 'harga', 'bbm', 'keekonomiian']"
kabar positif angka inflasi angka kira alias landai,positif,kabar positif angka inflasi angka kira alias landai,kabar positif angka inflasi angka kira alias landai,"['kabar', 'positif', 'angka', 'inflasi', 'angka', 'kira', 'alias', 'landai']",<FreqDist with 7 samples and 8 outcomes>,"['kabar', 'positif', 'angka', 'inflasi', 'angka', 'alias', 'landai']","['kabar', 'positif', 'angka', 'inflasi', 'angka', 'alias', 'landai']","['kabar', 'positif', 'angka', 'inflasi', 'angka', 'alias', 'landai']"
bisnis umkm tetap tumbuh di tengah kenaikan inflasi mantap,positif,bisnis umkm tetap tumbuh di tengah kenaikan inflasi mantap,bisnis umkm tetap tumbuh di tengah kenaikan inflasi mantap,"['bisnis', 'umkm', 'tetap', 'tumbuh', 'di', 'tengah', 'kenaikan', 'inflasi', 'mantap']",<FreqDist with 9 samples and 9 outcomes>,"['bisnis', 'umkm', 'tumbuh', 'kenaikan', 'inflasi', 'mantap']","['bisnis', 'umkm', 'tumbuh', 'kenaikan', 'inflasi', 'mantap']","['bisnis', 'umkm', 'tumbuh', 'naik', 'inflasi', 'mantap']"
airlangga juga menjelaskan bahwa inflasi diperkiran terkendali hingga hir tahun setelah sebelumnya berada pada angka  airlangga memperkira sai hir tahun angka inflasi berada pada kisaran  jokowi,positif,airlangga juga menjelaskan bahwa inflasi diperkiran terkendali hingga hir tahun setelah sebelumnya berada pada angka  airlangga memperkira sai hir tahun angka inflasi berada pada kisaran  jokowi,airlangga juga menjelaskan bahwa inflasi diperkiran terkendali hingga hir tahun setelah sebelumnya berada pada angka airlangga memperkira sai hir tahun angka inflasi berada pada kisaran jokowi,"['airlangga', 'juga', 'menjelaskan', 'bahwa', 'inflasi', 'diperkiran', 'terkendali', 'hingga', 'hir', 'tahun', 'setelah', 'sebelumnya', 'berada', 'pada', 'angka', 'airlangga', 'memperkira', 'sai', 'hir', 'tahun', 'angka', 'inflasi', 'berada', 'pada', 'kisaran', 'jokowi']",<FreqDist with 19 samples and 26 outcomes>,"['airlangga', 'inflasi', 'diperkiran', 'terkendali', 'hir', 'angka', 'airlangga', 'memperkira', 'sai', 'hir', 'angka', 'inflasi', 'kisaran', 'jokowi']","['airlangga', 'inflasi', 'diperkiran', 'terkendali', 'hir', 'angka', 'airlangga', 'memperkira', 'sai', 'hir', 'angka', 'inflasi', 'kisaran', 'jokowi']","['airlangga', 'inflasi', 'kir', 'kendali', 'hir', 'angka', 'airlangga', 'kira', 'sai', 'hir', 'angka', 'inflasi', 'kisar', 'jokowi']"
perintah pasti program pasar murah tiap daerah jelang natal bantu tekan angka inflasi jambi jokowi presiden,positif,perintah pasti program pasar murah tiap daerah jelang natal bantu tekan angka inflasi jambi jokowi presiden,perintah pasti program pasar murah tiap daerah jelang natal bantu tekan angka inflasi jambi jokowi presiden,"['perintah', 'pasti', 'program', 'pasar', 'murah', 'tiap', 'daerah', 'jelang', 'natal', 'bantu', 'tekan', 'angka', 'inflasi', 'jambi', 'jokowi', 'presiden']",<FreqDist with 16 samples and 16 outcomes>,"['perintah', 'program', 'pasar', 'murah', 'daerah', 'jelang', 'natal', 'bantu', 'tekan', 'angka', 'inflasi', 'jambi', 'jokowi', 'presiden']","['perintah', 'program', 'pasar', 'murah', 'daerah', 'jelang', 'natal', 'bantu', 'tekan', 'angka', 'inflasi', 'jambi', 'jokowi', 'presiden']","['perintah', 'program', 'pasar', 'murah', 'daerah', 'jelang', 'natal', 'bantu', 'tekan', 'angka', 'inflasi', 'jambi', 'jokowi', 'presiden']"
diharapkan sinergi menjaga stabilitas harga dpt menopang daya beli  pemulihan ekonomii nasional terlebih,positif,diharapkan sinergi menjaga stabilitas harga dpt menopang daya beli  pemulihan ekonomii nasional terlebih,diharapkan sinergi menjaga stabilitas harga dpt menopang daya beli pemulihan ekonomii nasional terlebih,"['diharapkan', 'sinergi', 'menjaga', 'stabilitas', 'harga', 'dpt', 'menopang', 'daya', 'beli', 'pemulihan', 'ekonomii', 'nasional', 'terlebih']",<FreqDist with 13 samples and 13 outcomes>,"['diharapkan', 'sinergi', 'menjaga', 'stabilitas', 'harga', 'dpt', 'menopang', 'daya', 'beli', 'pemulihan', 'ekonomii', 'nasional']","['diharapkan', 'sinergi', 'menjaga', 'stabilitas', 'harga', 'dapat', 'menopang', 'daya', 'beli', 'pemulihan', 'ekonomii', 'nasional']","['harap', 'sinergi', 'jaga', 'stabilitas', 'harga', 'dapat', 'topang', 'daya', 'beli', 'pulih', 'ekonomi', 'nasional']"
info perintah pasti program pasar murah daerah bantu tekan inflasi aceh hadir dukung,positif,info perintah pasti program pasar murah daerah bantu tekan inflasi aceh hadir dukung,info perintah pasti program pasar murah daerah bantu tekan inflasi aceh hadir dukung,"['info', 'perintah', 'pasti', 'program', 'pasar', 'murah', 'daerah', 'bantu', 'tekan', 'inflasi', 'aceh', 'hadir', 'dukung']",<FreqDist with 13 samples and 13 outcomes>,"['info', 'perintah', 'program', 'pasar', 'murah', 'daerah', 'bantu', 'tekan', 'inflasi', 'aceh', 'hadir', 'dukung']","['info', 'perintah', 'program', 'pasar', 'murah', 'daerah', 'bantu', 'tekan', 'inflasi', 'aceh', 'hadir', 'dukung']","['info', 'perintah', 'program', 'pasar', 'murah', 'daerah', 'bantu', 'tekan', 'inflasi', 'aceh', 'hadir', 'dukung']"
negara detail indonesia upaya kendali inflasi upaya kendali inflasi,positif,negara detail indonesia upaya kendali inflasi upaya kendali inflasi,negara detail indonesia upaya kendali inflasi upaya kendali inflasi,"['negara', 'detail', 'indonesia', 'upaya', 'kendali', 'inflasi', 'upaya', 'kendali', 'inflasi']",<FreqDist with 6 samples and 9 outcomes>,"['negara', 'detail', 'indonesia', 'upaya', 'kendali', 'inflasi', 'upaya', 'kendali', 'inflasi']","['negara', 'detail', 'indonesia', 'upaya', 'kendali', 'inflasi', 'upaya', 'kendali', 'inflasi']","['negara', 'detail', 'indonesia', 'upaya', 'kendali', 'inflasi', 'upaya', 'kendali', 'inflasi']"
faktor pengaruh menurunya angka inflasi indonesia tingkat inflasi terjaga,positif,faktor pengaruh menurunya angka inflasi indonesia tingkat inflasi terjaga,faktor pengaruh menurunya angka inflasi indonesia tingkat inflasi terjaga,"['faktor', 'pengaruh', 'menurunya', 'angka', 'inflasi', 'indonesia', 'tingkat', 'inflasi', 'terjaga']",<FreqDist with 8 samples and 9 outcomes>,"['faktor', 'pengaruh', 'menurunya', 'angka', 'inflasi', 'indonesia', 'tingkat', 'inflasi', 'terjaga']","['faktor', 'pengaruh', 'menurunya', 'angka', 'inflasi', 'indonesia', 'tingkat', 'inflasi', 'terjaga']","['faktor', 'pengaruh', 'menurunya', 'angka', 'inflasi', 'indonesia', 'tingkat', 'inflasi', 'jaga']"
tekan inflasi mobilisasi pangan dari daerah surplus ke daerah defisit sariagri pertanian,positif,tekan inflasi mobilisasi pangan dari daerah surplus ke daerah defisit sariagri pertanian,tekan inflasi mobilisasi pangan dari daerah surplus ke daerah defisit sariagri pertanian,"['tekan', 'inflasi', 'mobilisasi', 'pangan', 'dari', 'daerah', 'surplus', 'ke', 'daerah', 'defisit', 'sariagri', 'pertanian']",<FreqDist with 11 samples and 12 outcomes>,"['tekan', 'inflasi', 'mobilisasi', 'pangan', 'daerah', 'surplus', 'daerah', 'defisit', 'sariagri', 'pertanian']","['tekan', 'inflasi', 'mobilisasi', 'pangan', 'daerah', 'surplus', 'daerah', 'defisit', 'sariagri', 'pertanian']","['tekan', 'inflasi', 'mobilisasi', 'pangan', 'daerah', 'surplus', 'daerah', 'defisit', 'sariagri', 'tani']"
pengendalian inflasi di kota pontianak merupakan yang paling baik di kalimantan dengan nilai di bawah ratarata nas,positif,pengendalian inflasi di kota pontianak merupakan yang paling baik di kalimantan dengan nilai di bawah ratarata nas,pengendalian inflasi di kota pontianak merupakan yang paling baik di kalimantan dengan nilai di bawah ratarata nas,"['pengendalian', 'inflasi', 'di', 'kota', 'pontianak', 'merupakan', 'yang', 'paling', 'baik', 'di', 'kalimantan', 'dengan', 'nilai', 'di', 'bawah', 'ratarata', 'nas']",<FreqDist with 15 samples and 17 outcomes>,"['pengendalian', 'inflasi', 'kota', 'pontianak', 'kalimantan', 'nilai', 'ratarata', 'nas']","['pengendalian', 'inflasi', 'kota', 'pontianak', 'kalimantan', 'nilai', 'ratarata', 'nas']","['kendali', 'inflasi', 'kota', 'pontianak', 'kalimantan', 'nilai', 'ratarata', 'nas']"
indeks bisnis umkm kuartal rilis pt bank rakyat indoenesia persero tbk simpul sektor umkm tunjuk tumbuh bisnis optimistis tantang laju naik naik,positif,indeks bisnis umkm kuartal rilis pt bank rakyat indoenesia persero tbk simpul sektor umkm tunjuk tumbuh bisnis optimistis tantang laju naik naik,indeks bisnis umkm kuartal rilis pt bank rakyat indoenesia persero tbk simpul sektor umkm tunjuk tumbuh bisnis optimistis tantang laju naik naik,"['indeks', 'bisnis', 'umkm', 'kuartal', 'rilis', 'pt', 'bank', 'rakyat', 'indoenesia', 'persero', 'tbk', 'simpul', 'sektor', 'umkm', 'tunjuk', 'tumbuh', 'bisnis', 'optimistis', 'tantang', 'laju', 'naik', 'naik']",<FreqDist with 19 samples and 22 outcomes>,"['indeks', 'bisnis', 'umkm', 'kuartal', 'rilis', 'bank', 'rakyat', 'indoenesia', 'persero', 'tbk', 'simpul', 'sektor', 'umkm', 'tumbuh', 'bisnis', 'optimistis', 'tantang', 'laju']","['indeks', 'bisnis', 'umkm', 'kuartal', 'rilis', 'bank', 'rakyat', 'indoenesia', 'persero', 'tbk', 'simpul', 'sektor', 'umkm', 'tumbuh', 'bisnis', 'optimistis', 'tantang', 'laju']","['indeks', 'bisnis', 'umkm', 'kuartal', 'rilis', 'bank', 'rakyat', 'indoenesia', 'persero', 'tbk', 'simpul', 'sektor', 'umkm', 'tumbuh', 'bisnis', 'optimistis', 'tantang', 'laju']"
geran pangan murah tekan inflasi jelang natalpapuanlivesmatter papua,positif,geran pangan murah tekan inflasi jelang natalpapuanlivesmatter papua,geran pangan murah tekan inflasi jelang natalpapuanlivesmatter papua,"['geran', 'pangan', 'murah', 'tekan', 'inflasi', 'jelang', 'natalpapuanlivesmatter', 'papua']",<FreqDist with 8 samples and 8 outcomes>,"['geran', 'pangan', 'murah', 'tekan', 'inflasi', 'jelang', 'natalpapuanlivesmatter', 'papua']","['geran', 'pangan', 'murah', 'tekan', 'inflasi', 'jelang', 'natalpapuanlivesmatter', 'papua']","['geran', 'pangan', 'murah', 'tekan', 'inflasi', 'jelang', 'natalpapuanlivesmatter', 'papua']"
faktor turun angka inflasi indonesia tingkat inflasi terjaga,positif,faktor turun angka inflasi indonesia tingkat inflasi terjaga,faktor turun angka inflasi indonesia tingkat inflasi terjaga,"['faktor', 'turun', 'angka', 'inflasi', 'indonesia', 'tingkat', 'inflasi', 'terjaga']",<FreqDist with 7 samples and 8 outcomes>,"['faktor', 'turun', 'angka', 'inflasi', 'indonesia', 'tingkat', 'inflasi', 'terjaga']","['faktor', 'turun', 'angka', 'inflasi', 'indonesia', 'tingkat', 'inflasi', 'terjaga']","['faktor', 'turun', 'angka', 'inflasi', 'indonesia', 'tingkat', 'inflasi', 'jaga']"
bi memperkira inflasi tahun ini masih di kisaran persen atau sesuai dengan target inflasi bi empat plus minus satu persen,positif,bi memperkira inflasi tahun ini masih di kisaran persen atau sesuai dengan target inflasi bi empat plus minus satu persen,bi memperkira inflasi tahun ini masih di kisaran persen atau sesuai dengan target inflasi bi empat plus minus satu persen,"['bi', 'memperkira', 'inflasi', 'tahun', 'ini', 'masih', 'di', 'kisaran', 'persen', 'atau', 'sesuai', 'dengan', 'target', 'inflasi', 'bi', 'empat', 'plus', 'minus', 'satu', 'persen']",<FreqDist with 17 samples and 20 outcomes>,"['bi', 'memperkira', 'inflasi', 'kisaran', 'persen', 'sesuai', 'target', 'inflasi', 'bi', 'plus', 'minus', 'persen']","['bi', 'memperkira', 'inflasi', 'kisaran', 'persen', 'sesuai', 'target', 'inflasi', 'bi', 'plus', 'minus', 'persen']","['bi', 'kira', 'inflasi', 'kisar', 'persen', 'sesuai', 'target', 'inflasi', 'bi', 'plus', 'minus', 'persen']"
